перевод: перевода переводы переводу перевод переводов 
свет: света свет 
страница: страница 
видеоклип: видеоклипы видеоклип 
социальный: социальные 
поддержать: поддержи 
связь: связь 
умереть: умрем 
согласовывать: согласовывайте 
покуда: покуда 
понравиться: понравился понравиться 
мочь: могут 
солнечный: солнечного 
твой: твоих 
бриллиант: бриллиант бриллианты 
автор: авторами авторы автора авторам автор 
море: море 
соглашение: соглашение 
выбор: выбор 
счастливый: счастливой 
хит: хит 
первый: первого 
жизнь: жизнь 
ошибка: ошибки 
форум: форуме форум 
ты: тобой 
сила: сил силу 
обратить: обращены 
треклист: треклист 
обнимать: обнимаешь 
принадлежать: принадлежат 
предоставляться: предоставляются 
сеть: сети 
персональный: персональное 
выйти: выйти 
ощутить: ощутила 
тег: тегам 
партнёрский: партнерская 
французский: французские 
право: права 
немецкий: немецкие 
текст: текст 
возможность: возможность 
мой: мои 
отказ: отказ 
песня: песне песни 
поблагодарить: поблагодарить 
политика: политика 
разместить: разместить 
увидеть: увидела 
парад: парад 
рейтинг: рейтинг 
сайт: сайт сайтом 
авторский: авторские 
наш: наши 
знать: знала 
сиять: сияя сияй 
метеор: метеор 
взгляд: взгляда 
подписка: подписки 
общение: общение 
конфиденциальность: конфиденциальности 
паблик: паблик 
представиться: представьтесь 
единый: единым 
тепло: тепло 
ярко: ярко 
интересный: интересное 
клип: клипов 
мнение: мнений 
ответственность: ответственности 
полный: полные 
радио: радио 
английский: английские 
итальянский: итальянские 
возможный: возможны 
лунный: лунный 
обратный: обратная 
замечание: замечания 
испанский: испанские 
вселенная: вселенной 
прекрасный: прекрасном прекрасны 
добавить: добавить 
видеть: вижу 
сияние: сияние 
несоответствие: несоответствия 
немедля: немедля 
популярный: популярные 
загрузка: загрузка 
угадать: угадай 
излучать: излучаем 
живой: жива 
пожалуйста: пожалуйста 
обличие: обличье 
глаз: глазах глаза 
сообщить: сообщите 
ночью: ночью 
материал: материалов 
мы: нам 
сразу: сразу 
некоторый: некоторые 
небо: небесах 
пользовательский: пользовательское 
авторизируться: авторизируйтесь 
словно: словно 
отправить: отправить 
программа: программа 
любимый: любимые 
ладонь: ладони 
стать: станем 
пожелание: пожелания 
копирование: копирования 
почувствовать: почувствуй 
мелодия: мелодию 
восторг: восторг 
игра: игра 
к: ко 
главный: главная 
реклама: рекламу 
найти: найди 
