значит: значит 
связь: связь 
мечтать: мечтать 
окружение: окружение 
ум: ума 
автор: автор авторы авторами автора авторам 
каждый: каждого 
заставлять: заставляю 
отвести: отвести 
общение: общение 
перевод: переводов переводу перевода переводы перевод 
колдунья: колдунья 
экран: экрана 
сказать: скажешь 
делать: делаешь 
рейтинг: рейтинг 
текст: текст 
уходить: уходить 
лайковый: лайков 
видеоклип: видеоклипы видеоклип 
нравиться: нравлюсь нравится 
испанский: испанские 
загрузка: загрузка 
весь: всем всём 
отказ: отказ 
впустить: впущу 
интересный: интересное 
политика: политика 
быть: будешь 
форум: форум форуме 
расписаться: распишись 
пока: пока 
принадлежать: принадлежат 
говорить: говорит 
возможный: возможны 
слышать: слышу 
мой: моим моего мои моих 
выйти: выйти 
сложение: сложение 
другой: других 
писать: пишут 
гадость: гадости 
понравиться: понравился понравиться 
обед: обед 
популярный: популярные 
радио: радио 
сеть: сети 
право: права 
хрустальный: хрустальный 
забывать: забываешь 
наш: наши 
тело: тела 
который: которой которая которую 
сайт: сайтом сайт 
подходить: подходит 
мелодия: мелодию 
отличный: отличное 
клип: клипов 
возможность: возможность 
капёс: капсом 
хотеть: хочет хочешь 
выигрыш: выигрыше 
хит: хит 
простой: прост 
брюлик: брюликами 
тег: тегам 
английский: английские 
персональный: персональное 
паблик: паблик 
вчера: вчера 
итальянский: итальянские 
думать: думать думаешь 
мнение: мнений 
чара: чары 
стол: стол 
ты: тебе 
главный: главная 
мамин: мамин 
бабка: бабки 
пожениться: пожениться 
открыться: открылись 
авторизируться: авторизируйтесь 
свой: свой своё 
ответственность: ответственности 
голова: голове 
рождение: рождения 
пожелание: пожелания 
тот: та 
рассуждать: рассуждать 
конфиденциальность: конфиденциальности 
несоответствие: несоответствия 
рай: рая 
материал: материалов 
шанель: шанель 
немецкий: немецкие 
авторский: авторские 
песня: песне песни 
смотреть: смотрят 
подписка: подписки 
завистница: завистницы 
хороший: лучшая 
о: обо 
французский: французские 
сумка: сумка 
статистика: статистику 
пожалуйста: пожалуйста 
разместить: разместить 
банковский: банковского 
куча: куча 
поблагодарить: поблагодарить 
загадывать: загадываешь 
обвешать: обвешать 
предоставляться: предоставляются 
некоторый: некоторые 
замечание: замечания 
сводить: сводит 
обратный: обратная 
копирование: копирования 
парад: парад 
игра: игра 
сойти: сошла 
просто: просто 
наложить: наложила 
добавить: добавить 
знать: знала 
плохой: хуже 
бренд: бренда 
соглашение: соглашение 
отправить: отправить 
мочь: могут 
твой: твой 
пение: пение 
это: это 
счёт: счёта 
желание: желания 
сидеть: сижу 
партнёрский: партнерская 
лжец: лжец 
брать: берёт 
положить: положила 
страница: страница 
ошибка: ошибки 
представиться: представьтесь 
хотеться: хочется 
треклист: треклист 
поддержать: поддержи 
любимый: любимые 
пользовательский: пользовательское 
любить: любишь 
социальный: социальные 
дом: дом 
событие: событие 
шар: шар 
сообщить: сообщите 
мы: нам 
охладить: охлади 
похожий: похожа 
холодно: холодно 
согласовывать: согласовывайте 
обжечься: обжёгся 
девчонка: девчонка 
фото: фото 
огонь: огнём 
заглянуть: заглянула 
реклама: рекламу 
взглянуть: взгляни 
типаж: типаж 
угадать: угадай 
день: день 
врата: врата 
программа: программа 
стесняться: стесняются 
