вершина: вершину 
связь: связь 
автор: автор авторы авторами авторам 
общение: общение 
перевод: переводов переводу перевода переводы перевод 
исследовать: исследовали 
рейтинг: рейтинг 
синяк: синяки 
взлетать: взлетали 
текст: текст 
мэри: мэри 
видеоклип: видеоклипы видеоклип 
испанский: испанские 
загрузка: загрузка 
отказ: отказ 
политика: политика 
правда: правда 
интересный: интересное 
форум: форум форуме 
принадлежать: принадлежат 
мария: мария 
возможный: возможны 
выйти: выйти 
понравиться: понравился понравиться 
радио: радио 
популярный: популярные 
сеть: сети 
право: права 
наш: наши 
заплатить: заплатить 
сайт: сайтом сайт 
захотеть: захочешь 
сквозь: сквозь 
мелодия: мелодию 
город: города 
клип: клипов 
очередной: очередная 
возможность: возможность 
гламур: гламура 
кровавый: кровавая 
быстро: быстро 
красота: красота 
видеть: вижу 
рок: рок 
хит: хит 
тег: тегам 
английский: английские 
персональный: персональное 
паблик: паблик 
играть: играя играть 
весь: всей 
мой: мои 
итальянский: итальянские 
мнение: мнений 
мчаться: мчались 
главный: главная 
авторизируться: авторизируйтесь 
искать: искали 
ответственность: ответственности 
пожелание: пожелания 
кроме: кроме 
узнать: узнали 
конфиденциальность: конфиденциальности 
несоответствие: несоответствия 
материал: материалов 
щекотать: щекотать 
блюз: блюз 
вместе: вместе 
немецкий: немецкие 
авторский: авторские 
песня: песне песни 
проспект: проспектам 
подписка: подписки 
я: мной 
пугать: пугала 
слава: славы 
быть: буду 
изнутри: изнутри 
французский: французские 
пожалуйста: пожалуйста 
разместить: разместить 
правило: правилам 
крест: кресте 
ночной: ночным 
поблагодарить: поблагодарить 
предоставляться: предоставляются 
некоторый: некоторые 
замечание: замечания 
обратный: обратная 
копирование: копирования 
парад: парад 
игра: игра 
добавить: добавить 
соглашение: соглашение 
плохой: плохого 
отправить: отправить 
получить: получили 
мочь: могут 
это: это 
партнёрский: партнерская 
взлететь: взлетим 
сбежать: сбежать 
м: м 
ошибка: ошибки 
представиться: представьтесь 
поддержать: поддержи 
треклист: треклист 
любимый: любимые 
причина: причины 
пользовательский: пользовательское 
социальный: социальные 
твой: твоя 
святой: святая 
сообщить: сообщите 
мы: нам 
спускаться: спускаешься 
дурак: дураков 
отпустить: отпущу 
согласовывать: согласовывайте 
счёт: счетам 
сожаление: сожаления 
реклама: рекламу 
угадать: угадай 
программа: программа 
