перевод: перевода переводы переводу перевод переводов 
страница: страница 
видеоклип: видеоклипы видеоклип 
социальный: социальные 
поддержать: поддержи 
связь: связь 
согласовывать: согласовывайте 
ты: тебе 
мочь: могут 
понравиться: понравился понравиться 
вчера: вчера 
нужно: нужно 
рождение: рождения 
автор: авторами авторы автора авторам автор 
мешать: мешают 
соглашение: соглашение 
отпустить: отпусти отпустить 
поступок: поступки 
хит: хит 
жизнь: жизнь 
оставить: оставлю 
форум: форуме форум 
ошибка: ошибки 
самый: самый 
стареть: стареют 
чувство: чувства 
треклист: треклист 
вещь: вещи 
принадлежать: принадлежат 
предоставляться: предоставляются 
просить: прошу 
сеть: сети 
персональный: персональное 
просто: просто 
внести: внесёт 
выйти: выйти 
тег: тегам 
партнёрский: партнерская 
французский: французские 
право: права 
немецкий: немецкие 
текст: текст 
надеяться: надеюсь 
возможность: возможность 
мой: мои мою 
свой: свои 
отказ: отказ 
песня: песне песни 
поблагодарить: поблагодарить 
политика: политика 
порок: пороков 
разместить: разместить 
парад: парад 
рейтинг: рейтинг 
сайт: сайт сайтом 
авторский: авторские 
наш: наши 
говорить: говорят говоришь 
решить: решено 
который: которым 
жестокий: жестокой 
подписка: подписки 
общение: общение 
конфиденциальность: конфиденциальности 
паблик: паблик 
представиться: представьтесь 
интересный: интересное 
хотеть: хочу 
день: день 
клип: клипов 
мнение: мнений 
ответственность: ответственности 
радио: радио 
собрать: соберу 
всё: всё 
английский: английские 
удержать: удержит 
чувствовать: чувствовал чувствуешь 
любовь: любовь 
событие: событие 
забыть: забыть 
итальянский: итальянские 
возможный: возможны 
обратный: обратная 
замечание: замечания 
эгоистичный: эгоистично 
испанский: испанские 
добавить: добавить 
давать: даёшь 
прошлый: прошлом 
разбить: разбила 
несоответствие: несоответствия 
популярный: популярные 
загрузка: загрузка 
угадать: угадай 
пожалуйста: пожалуйста 
сообщить: сообщите 
знать: знаю 
материал: материалов 
твой: твои 
предаваться: предаюсь 
мы: нам 
некоторый: некоторые 
пользовательский: пользовательское 
авторизируться: авторизируйтесь 
любить: люблю 
отправить: отправить 
программа: программа 
порядок: порядок 
любимый: любимые 
громкий: громче 
пожелание: пожелания 
копирование: копирования 
дурак: дураком 
нужный: нужен нужна 
мелодия: мелодию 
юз: юзу 
игра: игра 
душа: душу 
главный: главная 
реклама: рекламу 
любовник: любовники 
