перевод: перевода переводы переводу перевод переводов 
свет: света 
страница: страница 
видеоклип: видеоклипы видеоклип 
социальный: социальные 
поддержать: поддержи 
связь: связь 
согласовывать: согласовывайте 
крепнуть: крепнет 
ты: тебе 
любим: любим 
понравиться: понравился понравиться 
мочь: могут 
сан: сан 
сказать: скажи 
друг: друга друг 
автор: авторами авторы автора авторам автор 
соглашение: соглашение 
путаница: путаницу 
хит: хит 
безумный: безумный 
крепко: крепко 
чувство: чувство 
форум: форуме форум 
переехать: переедем 
ошибка: ошибки 
смущаться: смущаюсь 
никакой: никакой 
треклист: треклист 
сумасшествие: сумасшествия 
принадлежать: принадлежат 
предоставляться: предоставляются 
дискотека: дискотека 
сеть: сети 
персональный: персональное 
выйти: выйти 
тег: тегам теги 
разница: разницы 
партнёрский: партнерская 
французский: французские 
буря: бурю 
право: права 
немецкий: немецкие 
казаться: кажется 
такой: такого 
текст: текст 
полететь: полетели 
возможность: возможность 
окно: окном 
мой: мои 
твой: твоим 
звезда: звезда 
ум: ума 
лететь: лети 
любовь: любви 
отказ: отказ 
песня: песне песни песня 
поблагодарить: поблагодарить 
политика: политика 
летать: летать 
конец: конец 
разместить: разместить 
парад: парад 
рейтинг: рейтинг 
сайт: сайт сайтом 
авторский: авторские 
наш: наши 
вздох: вздохам 
страстный: страстным 
всколыхнуть: всколыхнуть 
летаться: летается 
конфуз: конфуз 
подписка: подписки 
общение: общение 
конфиденциальность: конфиденциальности 
анна: анна 
создать: создать 
паблик: паблик 
представиться: представьтесь 
падать: падает 
поверь: повери 
отсюда: отсюда 
интересный: интересное 
крайний: крайней 
выше: выше 
э: э 
душа: душе 
придвинуться: придвинься 
клип: клипов 
наступить: наступит 
мнение: мнений 
ответственность: ответственности 
радио: радио 
такт: такт 
мера: мере 
английский: английские 
обнять: обними 
итальянский: итальянские 
возможный: возможны 
обратный: обратная 
мир: мир 
замечание: замечания 
испанский: испанские 
добавить: добавить 
несоответствие: несоответствия 
популярный: популярные 
загрузка: загрузка 
угадать: угадай 
сойти: сошел 
один: одной 
вокруг: вокруг 
пожалуйста: пожалуйста 
замешательство: замешательство 
сообщить: сообщите 
близкий: ближе поближе 
материал: материалов 
поить: пою 
странный: странного 
мы: нам 
некоторый: некоторые 
я: мной 
пользовательский: пользовательское 
авторизируться: авторизируйтесь 
любить: люблю 
отправить: отправить 
рть: ремо 
программа: программа 
хватить: хватит 
дольче: дольче 
это: это 
рикки: рикки 
любимый: любимые 
нереальный: нереальным 
пожелание: пожелания 
копирование: копирования 
мелодия: мелодию 
уметь: умеем 
игра: игра 
весна: весна 
х: х 
фестиваль: фестиваль 
главный: главная 
возможно: возможно 
реклама: рекламу 
