перевод: перевода переводы переводу перевод переводов 
наш: наше наши 
видеоклип: видеоклипы видеоклип 
социальный: социальные 
поддержать: поддержи 
связь: связь 
согласовывать: согласовывайте 
мочь: могут 
свидание: свидание 
понравиться: понравился понравиться 
твой: твоих твое твои 
язык: языке 
реклама: рекламу 
автор: авторами авторы авторам автор 
соглашение: соглашение 
я: мною 
здоровье: здоровье 
хит: хит 
потратить: потратил 
жизнь: жизнь 
ошибка: ошибки 
форум: форуме форум 
причина: причина 
скрывать: скрываю 
неестественный: неестественные 
качество: качества 
испанский: испанском испанские 
вариант: вариантами вариант 
ты: тобой 
треклист: треклист 
смеяться: смеешься 
старый: старой 
который: которыми который которые которого которой 
принадлежать: принадлежат 
предоставляться: предоставляются 
сеть: сети 
маленький: маленькую 
ночь: ночи 
выйти: выйти 
раздражительность: раздражительность 
выходка: выходки 
появиться: появятся появится 
персональный: персональное 
тег: тегам теги 
мой: моей мои мою мое 
партнёрский: партнерская 
французский: французские 
нежный: нежные 
добровольский: добровольский 
немецкий: немецкие 
часто: часто 
право: права 
земля: земли 
текст: текст 
парад: парада парад 
возможность: возможность 
поиск: поисках 
влюбить: влюбленных 
принц: принцев 
воспоминание: воспоминания 
сей: сих 
отказ: отказ 
песня: песне песни песня 
похожий: похож 
поблагодарить: поблагодарить 
политика: политика 
разместить: разместить 
альбом: альбоме 
рейтинг: рейтинг 
девочка: девочку 
сайт: сайт сайтом 
авторский: авторские 
удача: удачи 
такой: таких 
будущее: будущее 
миллион: миллионов 
этот: этих эта 
особенно: особенно 
одновременно: одновременно 
слово: слова 
ребёнок: ребенка 
непонятный: непонятную 
постоянный: постоянное 
подписка: подписки 
общение: общение 
конфиденциальность: конфиденциальности 
тот: ту 
паблик: паблик 
представиться: представьтесь 
бывать: бываешь 
интересный: интересное 
настоящий: настоящее 
прекрасный: прекрасных 
шутовской: шутовские 
другой: другими 
клип: клипов 
дассный: дассен 
мнение: мнений 
ответственность: ответственности 
радио: радио 
английский: английские 
день: дни 
надежда: надежды 
любовь: любовь 
итальянский: итальянские 
первый: первое 
возможный: возможны 
глеб: глеб 
обратный: обратная 
замечание: замечания 
измена: измены 
пора: пор 
литературный: литературные 
добавить: добавить 
несоответствие: несоответствия 
популярный: популярные 
загрузка: загрузка 
угадать: угадай 
лидер: лидеры 
прошлое: прошлое 
пожалуйста: пожалуйста 
бывший: бывших 
сообщить: сообщите 
материал: материалов 
мы: нам 
время: время 
некоторый: некоторые 
немного: немного 
пользовательский: пользовательское 
секрет: секреты 
сумасшествие: сумасшествие 
авторизируться: авторизируйтесь 
возвращение: возвращение 
отправить: отправить 
стихотворный: стихотворные 
уметь: умеешь 
глупый: глупые 
программа: программа 
молчание: молчание 
иллюзия: иллюзии 
любимый: любимые 
пожелание: пожелания 
красивый: красивой 
копирование: копирования 
мелодия: мелодию 
игра: игра 
джо: джо 
недостаток: недостатки 
главный: главная 
