перевод: перевода переводы переводу перевод переводов 
мечтать: мечтать 
видеоклип: видеоклипы видеоклип 
присутствовать: присутствует 
социальный: социальные 
ветер: ветер 
поддержать: поддержи 
бежать: бежать 
огонь: огонь 
утро: утра утро 
связь: связь 
согласовывать: согласовывайте 
подразумеваться: подразумеваться 
вчера: вчера 
мочь: могут 
понравиться: понравился понравиться 
рождение: рождения 
возвращаться: возвращаться 
сан: сан 
ужин: ужин 
реклама: рекламу 
автор: авторами авторы авторам автор 
море: море 
соглашение: соглашение 
хит: хит 
волос: волосами 
попойка: попойка 
золото: золото 
ошибка: ошибки 
форум: форуме форум 
регги: регги 
сальвадор: сальвадоре сальвадор 
готовить: готовит 
делать: делать 
треклист: треклист 
часы: часы 
принадлежать: принадлежат 
предоставляться: предоставляются 
который: который 
сеть: сети 
ночь: ночи ночь 
корунья: корунья 
выйти: выйти 
блестеть: блестит 
персональный: персональное 
тег: тегам 
партнёрский: партнерская 
французский: французские 
дождь: дождь 
шататься: шататься 
право: права 
немецкий: немецкие 
марихуана: марихуана 
текст: текст 
эль: эль 
возможность: возможность 
неизвестный: неизвестен 
определённый: определенная 
каштан: каштаны 
мой: мои мое 
гитара: гитара 
отказ: отказ 
смуглый: смуглой 
песня: песне песни 
поблагодарить: поблагодарить 
политика: политика 
разместить: разместить 
парад: парад 
рейтинг: рейтинг 
куба: куба 
сайт: сайт сайтом 
авторский: авторские 
наш: наши 
корица: корица 
мулатка: мулатка 
вид: виду 
подписка: подписки 
общение: общение 
конфиденциальность: конфиденциальности 
паблик: паблик 
представиться: представьтесь 
час: часа час 
сердце: сердце 
интересный: интересное 
потерянный: потерян 
авторство: авторство 
день: день 
либо: либо 
ля: ля 
манагуа: манагуа 
клип: клипов 
мнение: мнений 
ответственность: ответственности 
радио: радио 
всё: всё 
английский: английские 
событие: событие 
мотоцикл: мотоциклы 
приёмник: приемников 
итальянский: итальянские 
возможный: возможны 
обратный: обратная 
оставаться: оставайтесь 
нравиться: нравится нравятся нравишься 
фр: фр 
замечание: замечания 
скорее: скорее 
испанский: испанские 
добавить: добавить 
иметься: иметься 
несоответствие: несоответствия 
популярный: популярные 
загрузка: загрузка 
пьянка: пьянка 
угадать: угадай 
гора: гора 
гавана: гаване 
пожалуйста: пожалуйста 
девушка: девушка 
сообщить: сообщите 
путешествовать: путешествовать 
знать: знаю 
материал: материалов 
мы: нам 
некоторый: некоторые 
каштановый: каштановыми 
пользовательский: пользовательское 
авторизируться: авторизируйтесь 
соседка: соседка 
отправить: отправить 
программа: программа 
кокаин: кокаин 
соблазнять: соблазнять 
любимый: любимые 
кожа: кожей 
пожелание: пожелания 
копирование: копирования 
мелодия: мелодию 
никарагуа: никарагуа 
колумбийка: колумбийка 
гватемала: гватемала 
игра: игра 
также: также 
самолёт: самолеты 
маласанья: маласанья 
указать: указать 
ещё: ещё 
главный: главная 
слово: слов 
быть: буду 
