перевод: перевода переводы переводу перевод переводов 
поставить: поставим 
страница: страница 
видеоклип: видеоклипы видеоклип 
отражение: отражения 
социальный: социальные 
поддержать: поддержи 
связь: связь 
согласовывать: согласовывайте 
ты: тебе 
мочь: могут 
понравиться: понравился понравиться 
вчера: вчера 
исчезнуть: исчезну 
вино: вина 
рождение: рождения 
автор: авторами авторы автора авторам автор 
соглашение: соглашение 
истинный: истинного 
хит: хит 
многие: многие 
ошибка: ошибки 
форум: форуме форум 
жить: жить 
треклист: треклист 
оно: оно 
принадлежать: принадлежат 
предоставляться: предоставляются 
проходить: проходит 
сеть: сети 
персональный: персональное 
выйти: выйти 
твой: твоего твоя 
тег: тегам 
её: её 
партнёрский: партнерская 
французский: французские 
пропасть: пропало 
право: права 
немецкий: немецкие 
текст: текст 
отпускать: отпускай 
возможность: возможность 
волшебство: волшебству 
сжечь: сжечь 
мой: мои моём 
обвинять: обвиняешь 
идеальный: идеальная идеальна 
место: место месте 
отвлечение: отвлечение 
отказ: отказ 
песня: песне песни 
поблагодарить: поблагодарить 
политика: политика 
разместить: разместить 
парад: парад 
рейтинг: рейтинг 
сайт: сайт сайтом 
авторский: авторские 
испортить: испорчено 
поджигать: поджигай 
наш: наши 
жертва: жертва 
ненавидеть: ненавидь 
постоянно: постоянно 
громкий: громкая 
время: времени 
расплывчивый: расплывчивее 
подписка: подписки 
базарить: базарит 
общение: общение 
конфиденциальность: конфиденциальности 
паблик: паблик 
представиться: представьтесь 
оказаться: окажется 
создать: создал 
интересный: интересное 
день: день 
клип: клипов 
мнение: мнений 
ответственность: ответственности 
монстр: монстр 
радио: радио 
плохой: плоха 
снова: снова 
всё: всё 
английский: английские 
избавиться: избавиться 
событие: событие 
сучка: сучка 
итальянский: итальянские 
возможный: возможны 
обратный: обратная 
замечание: замечания 
испанский: испанские 
позорить: позорить 
добавить: добавить 
злой: злую 
несоответствие: несоответствия 
популярный: популярные 
загрузка: загрузка 
угадать: угадай 
пожалуйста: пожалуйста 
облажаться: облажался 
хотеть: хочешь 
сообщить: сообщите 
темница: темнице 
знать: знаю 
материал: материалов 
давать: давай 
мы: нам 
некоторый: некоторые 
пользовательский: пользовательское 
пьяный: пьяная 
авторизируться: авторизируйтесь 
свой: своё 
словно: словно 
злодей: злодей 
отправить: отправить 
программа: программа 
это: это 
любимый: любимые 
пожелание: пожелания 
застрелиться: застрелились 
копирование: копирования 
погнать: погнали 
мелодия: мелодию 
нужный: нужна 
игра: игра 
такой: такая 
любить: любишь 
ведьма: ведьму 
главный: главная 
реклама: рекламу 
