дурак: дураком 
связь: связь 
оставить: оставлю 
автор: автор авторы авторами автора авторам 
самый: самый 
собрать: соберу 
общение: общение 
перевод: переводов переводу перевода переводы перевод 
громкий: громче 
рейтинг: рейтинг 
текст: текст 
предаваться: предаюсь 
видеоклип: видеоклипы видеоклип 
испанский: испанские 
загрузка: загрузка 
любить: люблю 
отказ: отказ 
интересный: интересное 
политика: политика 
надеяться: надеюсь 
форум: форум форуме 
принадлежать: принадлежат 
порядок: порядок 
возможный: возможны 
выйти: выйти 
понравиться: понравился понравиться 
радио: радио 
популярный: популярные 
чувствовать: чувствуешь чувствовал 
сеть: сети 
право: права 
твой: твои 
наш: наши 
юз: юзу 
сайт: сайтом сайт 
стареть: стареют 
чувство: чувства 
любовь: любовь 
мелодия: мелодию 
клип: клипов 
внести: внесёт 
забыть: забыть 
возможность: возможность 
который: которым 
отпустить: отпустить отпусти 
решить: решено 
хит: хит 
жестокий: жестокой 
тег: тегам 
английский: английские 
персональный: персональное 
говорить: говорят говоришь 
паблик: паблик 
вчера: вчера 
мой: мои мою 
итальянский: итальянские 
мнение: мнений 
разбить: разбила 
ты: тебе 
главный: главная 
жизнь: жизнь 
авторизируться: авторизируйтесь 
ответственность: ответственности 
любовник: любовники 
пожелание: пожелания 
рождение: рождения 
душа: душу 
конфиденциальность: конфиденциальности 
знать: знаю 
несоответствие: несоответствия 
материал: материалов 
немецкий: немецкие 
авторский: авторские 
песня: песне песни 
подписка: подписки 
хотеть: хочу 
французский: французские 
удержать: удержит 
пожалуйста: пожалуйста 
разместить: разместить 
эгоистичный: эгоистично 
поблагодарить: поблагодарить 
предоставляться: предоставляются 
некоторый: некоторые 
замечание: замечания 
обратный: обратная 
копирование: копирования 
парад: парад 
поступок: поступки 
игра: игра 
просто: просто 
добавить: добавить 
нужный: нужен нужна 
мешать: мешают 
нужно: нужно 
соглашение: соглашение 
отправить: отправить 
мочь: могут 
свой: свои 
просить: прошу 
партнёрский: партнерская 
порок: пороков 
страница: страница 
всё: всё 
ошибка: ошибки 
вещь: вещи 
представиться: представьтесь 
поддержать: поддержи 
треклист: треклист 
любимый: любимые 
пользовательский: пользовательское 
социальный: социальные 
событие: событие 
сообщить: сообщите 
мы: нам 
согласовывать: согласовывайте 
реклама: рекламу 
давать: даёшь 
прошлый: прошлом 
угадать: угадай 
день: день 
программа: программа 
