перевод: перевода переводы переводу перевод переводов 
звёздный: звездная 
марш: марш 
видеоклип: видеоклипы видеоклип 
социальный: социальные 
гражданин: гражданин 
поддержать: поддержи 
пивоваренный: пивоваренный 
связь: связь 
согласовывать: согласовывайте 
мочь: могут 
понравиться: понравился понравиться 
должный: должны 
нужно: нужно 
размножаться: размножаться 
автор: авторами авторы авторам автор 
высоко: высоко 
соглашение: соглашение 
верно: верно 
пунктуальный: пунктуальны 
хит: хит 
благополучие: благополучию 
воскреснуть: воскресшие 
ошибка: ошибки 
форум: форуме форум 
квадрат: квадрате 
немецкий: немецкий немецкие немецкое 
пять: пять 
вырастить: выращены 
почитать: почитать 
работать: работает 
треклист: треклист 
оловянный: оловянный 
побеждать: побеждать 
принадлежать: принадлежат 
предоставляться: предоставляются 
сеть: сети 
персональный: персональное 
выйти: выйти 
свет: свет 
правильно: правильно 
тег: тегам 
правильный: правильны 
выполнить: выполнена 
партнёрский: партнерская 
французский: французские 
право: права право 
останавливаться: останавливаться 
текст: текст 
возможность: возможность 
телевидение: телевидение 
идеально: идеально 
мой: мои 
большой: большое 
слушаться: слушаюсь 
левый: левой лево 
солнце: солнце 
отказ: отказ 
робот: роботы 
песня: песне песни 
бдеть: бдите 
поблагодарить: поблагодарить 
политика: политика 
разместить: разместить 
старание: старания 
парад: парад 
выпустить: выпущенная 
рейтинг: рейтинг 
сайт: сайт сайтом 
авторский: авторские 
сделать: сделано 
повтор: повтор 
наш: наши 
замереть: замерли 
добродетель: добродетель 
машина: машина 
ночь: ночь 
служить: служить 
семь: семь 
вниз: вниз 
привести: привести 
постоянно: постоянно 
восемь: восемь 
подписка: подписки 
превосходно: превосходно 
общение: общение 
конфиденциальность: конфиденциальности 
паблик: паблик 
представиться: представьтесь 
интересный: интересное 
познавательный: познавательная 
родить: рожденные 
клип: клипов 
мнение: мнений 
ответственность: ответственности 
сад: сад 
солдатик: солдатик 
радио: радио 
такт: такт 
снова: снова 
завод: завод 
английский: английские 
руина: руин 
итальянский: итальянские 
возможный: возможны 
господин: господин господа 
обратный: обратная 
довольный: довольные 
мир: мир 
замечание: замечания 
передача: передача 
испанский: испанские 
правда: правда 
цель: цели 
добавить: добавить 
спасибо: спасибо 
германия: германия 
несоответствие: несоответствия 
популярный: популярные 
загрузка: загрузка 
угадать: угадай 
пожалуйста: пожалуйста 
работа: работа 
трудный: трудные 
сообщить: сообщите 
материал: материалов 
избранный: избранные 
мы: нам 
некоторый: некоторые 
ребёнок: детей 
детский: детский 
пользовательский: пользовательское 
авторизируться: авторизируйтесь 
недовольный: недовольные 
отправить: отправить 
четыре: четыре 
программа: программа 
вверх: вверх 
это: это 
любимый: любимые 
пожелание: пожелания 
копирование: копирования 
точно: точно 
мелодия: мелодию 
немецк: немецки 
игра: игра 
бог: бога 
долг: долг 
главный: главная 
реклама: рекламу 
засунуть: засунуты 
шесть: шесть 
