перевод: перевода переводы переводу перевод переводов 
наступить: наступи 
страница: страница 
загрузить: загрузить загружено 
голова: голове 
социальный: социальные 
поддержать: поддержи 
связь: связь 
согласовывать: согласовывайте 
ты: тебе 
мочь: могут 
понравиться: понравился понравиться 
видео: видео 
быть: будь 
автор: авторами авторы авторам автор 
соглашение: соглашение 
пользователь: пользователь 
верно: верно 
несколько: несколько 
хит: хит 
ошибка: ошибки 
форум: форуме форум 
формат: формате 
свободный: свободен 
схватить: схватил 
треклист: треклист 
видеть: видишь 
принадлежать: принадлежат 
сеть: сети 
персональный: персональное 
выйти: выйти 
тег: тегам 
мой: моей мои моё моём 
партнёрский: партнерская 
французский: французские 
сломать: сломаешь 
право: права 
немецкий: немецкие 
казаться: кажется 
текст: текст 
возможность: возможность 
сделать: сделай 
левый: левой 
ох: ох 
песня: песне песни 
поблагодарить: поблагодарить 
политика: политика 
разместить: разместить 
парад: парад 
рейтинг: рейтинг 
сайт: сайт 
авторский: авторские 
думать: думаю 
наш: наши 
пойти: пойду 
ступня: ступню 
твой: твоём 
указать: укажите указать 
подписка: подписки 
общение: общение 
конфиденциальность: конфиденциальности 
паблик: паблик 
представиться: представьтесь 
сердце: сердце 
интересный: интересное 
день: день 
нога: ноге 
вертеться: вертишься 
мнение: мнений 
секунда: секунд 
продолжать: продолжай 
радио: радио 
анонимный: анонимный 
другой: другое 
всё: всё 
английский: английские 
страдать: страдает 
итальянский: итальянские 
сжать: сожми 
обратный: обратная 
замечание: замечания 
перезагрузиться: перезагрузится 
испанский: испанские 
вперёд: вперёд 
хххххха: хххххх 
добавить: добавить 
спасибо: спасибо 
новый: новым 
популярный: популярные 
загрузка: загрузка 
угадать: угадай 
кто: кем 
пожалуйста: пожалуйста 
хотеть: хочешь 
сообщить: сообщите 
материал: материалов 
мы: нам 
я: мной 
пользовательский: пользовательское 
авторизируться: авторизируйтесь 
путь: пути 
делать: делай 
стоить: стоишь 
отправить: отправить 
который: которой 
найти: найти 
весь: весь 
программа: программа 
идти: иди 
болеть: болит 
это: это 
захотеть: захочешь 
любимый: любимые 
страшный: страшного 
выбор: выборе 
ступить: ступи 
пожелание: пожелания 
копирование: копирования 
мелодия: мелодию 
ссылка: ссылку 
игра: игра 
главный: главная 
реклама: рекламу 
